,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
242,2389cdc2,Matty Cash,240,0,0.0,0.0,0.0,0.0,20,14,0,0,37,1,206,20.561111111111114,0.63
243,19a12bed,Hassane Kamara,199,0,0.0,0.0,0.0,0.0,12,5,0,0,31,3,105,11.175,0.53
244,b5bf1770,Lyanco,125,0,0.0,0.0,0.0,0.0,3,1,0,0,28,1,52,19.19411764705882,1.46
245,a179d516,Willy Caballero,401,437,42.089999999999996,1534.0,58.82564102564102,29.86923076923077,0,0,0,0,19,5,0,0.0,0.0
246,3d50bcdb,Moise Kean,189,0,0.0,0.0,0.0,0.0,45,5,1,1,21,1,250,28.623999999999995,3.3400000000000003
247,15ea812b,James Tarkowski,381,0,0.0,0.0,0.0,0.0,17,10,0,2,76,3,135,6.317857142857143,0.41000000000000003
248,1bf811d4,Sam Byram,226,0,0.0,0.0,0.0,0.0,10,9,0,0,50,3,50,2.768181818181818,0.17
249,f230bc30,Jakub Moder,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
250,6250083a,Oliver Skipp,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
251,47369df8,Josh Brownhill,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
252,7c104bb7,Ademola Lookman,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
253,e082af5b,Angus Gunn,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
254,2f7acede,Harry Winks,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
255,5cbd1eb0,Tyrick Mitchell,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
256,1544f145,Jacob Ramsey,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
257,2500cef9,Yoane Wissa,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
258,7a2e46a8,Alisson,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
259,f5044e54,Pierre Lees Melou,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
260,82e34b69,Troy Deeney,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
261,df04eb4b,Crysencio Summerville,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
262,97333cf5,Stuart Armstrong,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
263,4f565d77,Kalvin Phillips,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
264,111c3236,Fabian Delph,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
265,45963054,Jamie Vardy,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
266,d557d734,Matt Doherty,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
